k,estimate,se,ci_low,ci_high,p,tau2,Q,Q_p,I2,pooled_rho,rho_ci_low,rho_ci_high,rho_prediction_low,rho_prediction_high,target,source,effect,family,fdr
7,0.08078099157611,0.020274397845369,0.0410431717991867,0.1205188113530333,6.765532242440247e-05,0.002473735104897,43.27211646240199,1.0303805859174349e-07,0.8613425806150886,0.0806057350539131,0.0410201410026955,0.1199386784124365,-0.0244861182474303,0.1839355251680468,PLEK,neutrophil_module,same_spot,primary,0.0001353106448488
7,0.0660980188589878,0.0211078818224959,0.0247265704868957,0.1074694672310799,0.0017395263421138,0.0027142252586267,58.258832801456734,1.015511367428324e-10,0.8970113249531155,0.0660019271787486,0.0247215324168432,0.1070576235782721,-0.0440486127492688,0.1744698489670468,granule3_axis,neutrophil_module,same_spot,primary,0.0017395263421138
