term,state,n,beta,se,ci_low,ci_high,p,model_r2,incremental_r2,vif,fdr,label
CPE,platelet_granule_effector_3,623,-0.047713550806893,0.0465727561186981,-0.13917447101613,0.0437473694023442,0.306004379193789,0.178090337440114,0.0014027121740384,1.62298650623933,0.82629326714132,Tumor purity
endothelial,platelet_granule_effector_3,623,-0.036775875951754,0.0558009475082693,-0.146359384272505,0.0728076323689969,0.51010733343078,0.178090337440114,0.0005804861674189,2.32988334249588,0.82629326714132,Endothelial
myeloid_macrophage,platelet_granule_effector_3,623,-0.0135974356147835,0.0606892563892049,-0.13278074574623,0.105585874516663,0.822792708310041,0.178090337440114,6.70871527056471e-05,2.75597111877956,0.82629326714132,Macrophage
neutrophil,platelet_granule_effector_3,623,0.440422833241028,0.0514606557115317,0.339362914992861,0.541482751489194,9.13747220969056e-17,0.178090337440114,0.097889924107137,1.98153460439665,5.48248332581434e-16,Neutrophil
cd8_tcell,platelet_granule_effector_3,623,-0.0107852414426612,0.0491239563714869,-0.107256282207431,0.0856857993221087,0.82629326714132,0.178090337440114,6.44201957380464e-05,1.80566717694273,0.82629326714132,CD8 T cell
fibroblast_stromal,platelet_granule_effector_3,623,-0.0186848037245985,0.0608430291582242,-0.13817009724998,0.100800489800783,0.758872346000587,0.178090337440114,0.0001260388392371,2.76995481979804,0.82629326714132,Fibroblast/stromal
